Week,Date,Topic,Assessment
1,01/20,Introduction to Cloud Computing,-
-,-,Introduction to CloudLab,-
-,-,Project Overview,-
2,01/27,Why Cloud,-
-,-,Virtualization,-
-,-,-,-
3,02/03,Introduction to Docker,-
-,-,Dockerfile,-
-,-,-,-
4,02/10,Docker: volume and network,-
-,-,Docker Compose,-
-,-,-,-
5,02/17,Project Vision Presentation,-
-,-,-,-
-,-,-,-
6,02/24,Container Engine,-
-,-,Programmatic Deployment,-
-,-,-,-
7,03/03,Midterm review,-
-,-,Midterm Exam,-
-,-,In-class project work,-
8,03/10,SPRING BREAK,-
-,-,SPRING BREAK,-
9,03/17,-,-
-,-,-,-
-,-,-,-
10,03/24,-,-
-,-,-,-
-,-,-,-
11,03/31,-,-
-,-,-,-
-,-,-,-
12,04/07,-,-
-,-,-,-
-,-,-,-
13,04/14,-,-
-,-,-,-
-,-,-,-
14,04/21,-,-
-,-,-,-
-,-,-,-
15,04/28,-,-
-,-,-,-
-,-,-,-
16,05/05,-,-
